Név;Kategória;Aliasok
"CBCT (nagy volumenű)";"Vizsgálat és diagnosztika";"nagy CBCT|teljes CBCT|nagy térfogatú CBCT"
"Endodonciai CBCT (egy fog, kis volumen)";"Vizsgálat és diagnosztika";"endo CBCT|fókusz CBCT|5x5 CBCT"
"Teleröntgen";"Vizsgálat és diagnosztika";"tele|teleröntgen|kefalometriás|cefalometriás röntgen"
"Sinus röntgen";"Vizsgálat és diagnosztika";"sinus RTG|melléküreg röntgen|orrmelléküreg felvétel"
"CBCT/röntgen kiadása pendrive-on";"Vizsgálat és diagnosztika";"röntgen kiadás|CBCT pendrive|képkiadás"
"Digitális szkennelés (1 fogív)";"Vizsgálat és diagnosztika";"szkennelés|intraorális szken|digitális lenyomat|iTero|TRIOS|Primescan"
"Digitális szkennelés (2 fogív)";"Vizsgálat és diagnosztika";"teljes szkennelés|alsó-felső szken"
"Lenyomatvétel alginátos (egyszerű)";"Vizsgálat és diagnosztika";"alginát lenyomat|tanulmányi lenyomat|preliminary lenyomat"
"Lenyomatvétel precíziós szilikon";"Vizsgálat és diagnosztika";"precíziós lenyomat|szilikon lenyomat|A-szilikon|polivinil sziloxán"
"Lenyomatvétel egyéni kanállal";"Vizsgálat és diagnosztika";"egyéni kanalas|individuális kanál|funkcionális lenyomat"
"Egyéni kanál készítése";"Vizsgálat és diagnosztika";"egyéni kanál|individual tray"
"Harapásrögzítés (alkalmanként)";"Vizsgálat és diagnosztika";"harapás|bite|interocclusal record|harapási regisztráció"
"Arcíves harapásregisztráció";"Vizsgálat és diagnosztika";"arcív|facebow|arcíves bemérés"
"Axiográfos ízületi bemérés";"Vizsgálat és diagnosztika";"axiográf|axiográfia|ízületbemérés|ízületi pálya rögzítés"
"3D nyomtatott modell (db)";"Vizsgálat és diagnosztika";"3D modell|nyomtatott modell|tanulmányi modell"
"Wax-up (felviaszolás, foganként)";"Vizsgálat és diagnosztika";"wax up|felviaszolás|diagnosztikai felviaszolás|tervezési viaszolás"
"Mock-up (vizualizáció szájban, foganként)";"Vizsgálat és diagnosztika";"mock up|vizualizáció|próba szájban|esztétikai próba"
"Vizualizáció rögzítve (hosszútávú próba, foganként)";"Vizsgálat és diagnosztika";"hosszú mock up|tartós vizualizáció|long term mock up"
"Vizualizáció dublírozása (fogívenként)";"Vizsgálat és diagnosztika";"mock up dublírozás|próba másolat"
"Digitális mosolytervezés (DSD)";"Vizsgálat és diagnosztika";"DSD|smile design|mosolytervezés|smiledesign"
"Tasakmérés / parodontális státusz";"Vizsgálat és diagnosztika";"tasakmérés|paro státusz|paroprobálás|szondázás|paro charting"
"Diagnodent lézeres szuvasodásmérés";"Vizsgálat és diagnosztika";"diagnodent|lézeres caries|szuvasodásmérés"
"Sialometria (nyáltermelés vizsgálat)";"Vizsgálat és diagnosztika";"sialometria|nyál|nyáltermelés|nyálmennyiség"
"Genetikai/bakteriológiai paro teszt";"Vizsgálat és diagnosztika";"paro teszt|baktérium teszt|genetikai teszt|PerioSafe"
"PCR teszt";"Vizsgálat és diagnosztika";"PCR|patogén PCR|baktérium PCR"
"Szövettani vizsgálat";"Vizsgálat és diagnosztika";"szövettan|hisztológia|biopszia"
"Lágyrész mintavétel (biopszia)";"Vizsgálat és diagnosztika";"biopszia|mintavétel|lágyrészbiopszia|incisionalis biopszia"
"ICT komputer-vezérelt érzéstelenítés";"Vizsgálat és diagnosztika";"ICT|számítógépes érzéstelenítés|Quick Sleeper|computer assisted anesthesia|CCLAD"
"Infiltrációs érzéstelenítés";"Vizsgálat és diagnosztika";"infiltráció|szúrás|szuri|érzéstelenítés"
"Vezetéses érzéstelenítés";"Vizsgálat és diagnosztika";"mandibuláris blokk|vezetéses|n. alveolaris inferior|alveolaris érzéstelenítés"
"Intraligamentális érzéstelenítés";"Vizsgálat és diagnosztika";"intraligamentális|PDL érzéstelenítés"
"Felszíni anesztézia (gél)";"Vizsgálat és diagnosztika";"felszíni érzéstelenítés|gél|EMLA|topikális anesztézia"
"Tudatos szedáció (Dormicum)";"Vizsgálat és diagnosztika";"szedáció|tudatos szedáció|Dormicum|midazolam"
"Nitrogén-oxidul szedáció (kacaj-gáz)";"Vizsgálat és diagnosztika";"N2O|kacaj-gáz|nitrogén-oxidul|inhalációs szedáció"
"Kezelési terv elkészítése";"Vizsgálat és diagnosztika";"kezelési terv|terápiás terv|treatment plan"
"Árajánlat készítése";"Vizsgálat és diagnosztika";"árajánlat|ajánlat|kalkuláció"
"Szájhigiénés felmérés és tanácsadás (30 perc)";"Dentálhigiénia";"szájhigiéné felmérés|szájhigiénia|tanácsadás|fogmosás oktatás"
"Egyéni szájhigiénés instrukció (gyermek)";"Dentálhigiénia";"gyermek szájhigiéné|gyerek oktatás|fogmosás oktatás gyermek"
"Professzionális UH fogkőeltávolítás (felnőtt)";"Dentálhigiénia";"depurálás|UH|ultrahangos fogkő|scaling|fogkőleszedés"
"Professzionális fogkőeltávolítás (gyermek)";"Dentálhigiénia";"depurálás gyermek|fogkőleszedés gyerek|gyermek scaling"
"Air-flow / Prophy-jet polírozás";"Dentálhigiénia";"airflow|prophy jet|homokfúvó|polírozás|air polishing"
"Air-flow / Prophy-jet polírozás (gyermek)";"Dentálhigiénia";"airflow gyerek|prophy jet gyermek"
"Komplex dentálhigiénés kezelés (UH + Prophy-jet, felnőtt)";"Dentálhigiénia";"DH|komplex DH|fogkő+polírozás|kombinált tisztítás|szájhigi"
"Komplex dentálhigiénés kezelés (gyermek)";"Dentálhigiénia";"DH gyermek|kombinált gyerek|gyermek dentálhigiénia"
"Íny alatti fogkőeltávolítás kvadránsonként";"Dentálhigiénia";"subgingivális depurálás|íny alatti scaling|kvadráns scaling"
"Sonicflex tasakkezelés (teljes fogazat)";"Dentálhigiénia";"sonicflex|paro endo|tasakkezelés|piezo tasak"
"Root planing kvadránsonként";"Dentálhigiénia";"root planing|gyökérfelszín simítás|RP|gyökérsimítás"
"Fluoridálás (Duraphat lakk)";"Dentálhigiénia";"fluor|fluoridálás|Duraphat|fluorid lakk"
"Fluorid ionoforézis";"Dentálhigiénia";"ionoforézis|fluorid ionoforézis"
"Fluor Protector";"Dentálhigiénia";"fluor protector|Ivoclar fluor|UV fluor"
"Tooth Mousse alkalmazás";"Dentálhigiénia";"tooth mousse|CPP-ACP|MI Paste|remineralizáló"
"Plakkfestés és oktatás";"Dentálhigiénia";"plakkfestés|festő tabletta|disclosing tablet"
"Frontfog tömés (1 felszín)";"Konzerváló fogászat";"front 1F|metsző tömés 1F|kompozit front 1F|esztétikus tömés"
"Frontfog tömés (2 felszín)";"Konzerváló fogászat";"front 2F|metsző tömés 2F|kompozit front 2F"
"Frontfog tömés (3 felszín)";"Konzerváló fogászat";"front 3F|metsző tömés 3F|kompozit front 3F|élpótlás+tömés"
"Frontfog tömés (4+ felszín)";"Konzerváló fogászat";"front 4F|metsző tömés 4F|kiterjesztett front tömés"
"Kisőrlő tömés (1 felszín)";"Konzerváló fogászat";"premoláris 1F|kisörlő 1F|kompozit kisőrlő 1F|P1F"
"Kisőrlő tömés (2 felszín)";"Konzerváló fogászat";"premoláris 2F|kisörlő 2F|MOD kisőrlő 2F|P2F"
"Kisőrlő tömés (3+ felszín)";"Konzerváló fogászat";"premoláris 3F|kisörlő 3F|MOD kisőrlő|P3F"
"Nagyőrlő tömés (1 felszín)";"Konzerváló fogászat";"moláris 1F|nagyörlő 1F|kompozit moláris 1F|M1F"
"Nagyőrlő tömés (2 felszín)";"Konzerváló fogászat";"moláris 2F|nagyörlő 2F|MOD moláris 2F|M2F"
"Nagyőrlő tömés (3+ felszín)";"Konzerváló fogászat";"moláris 3F|nagyörlő 3F|MOD moláris|M3F"
"Fognyaki tömés";"Konzerváló fogászat";"V. osztály|cervicalis tömés|fognyak tömés|abráziós tömés"
"Élpótlás (frontfog)";"Konzerváló fogászat";"élpótlás|incisalis pótlás|inciso pótlás"
"Direkt korona (kompozit, foganként)";"Konzerváló fogászat";"direkt korona|kompozit korona|build-up korona"
"Felépítés kompozittal (csap nélkül)";"Konzerváló fogászat";"felépítés|build up|kompozit felépítés|core build up"
"Felépítés rövid üvegszálas kompozittal (everX)";"Konzerváló fogászat";"everX|short fiber|üvegszálas kompozit|biomimetikus felépítés"
"Üvegszálas csap behelyezése";"Konzerváló fogászat";"glass fiber post|üvegszálas csap|fiber post|gyökércsap"
"Csapos felépítés (üvegszálas csap + kompozit)";"Konzerváló fogászat";"csapos felépítés|csap+felépítés|post and core"
"Régi csap eltávolítása";"Konzerváló fogászat";"csap eltávolítás|régi csap eltávolítása|post removal"
"Direkt felépítés injektálásos technikával";"Konzerváló fogászat";"injekciós technika|inject technique|injektálásos|sín alatti kompozit"
"Direkt pulpasapkázás (vitálterápia, frontfog)";"Konzerváló fogászat";"vitálterápia front|direkt pulpa cap front|MTA front"
"Direkt pulpasapkázás (vitálterápia, kisőrlő)";"Konzerváló fogászat";"vitálterápia kisőrlő|direkt pulpa cap premoláris"
"Direkt pulpasapkázás (vitálterápia, nagyőrlő)";"Konzerváló fogászat";"vitálterápia nagyőrlő|direkt pulpa cap moláris"
"Indirekt pulpasapkázás";"Konzerváló fogászat";"indirekt pulpa cap|alábélelés mély szuvasodásnál"
"Alábélelés MTA-val";"Konzerváló fogászat";"MTA alábélelés|MTA|Biodentine"
"Alábélelés Ledermix-szel";"Konzerváló fogászat";"ledermix|kortizonos alábélelés|gyulladáscsillapító alábélelés"
"Ideiglenes tömés (üvegionomer)";"Konzerváló fogászat";"ideiglenes tömés|GIC|üvegionomer|fuji"
"Ideiglenes tömés (Cavit/cinkoxid-eugenol)";"Konzerváló fogászat";"cavit|ZOE|cinkoxid eugenol|ideiglenes lezárás"
"Inlay/Onlay (kompozit)";"Konzerváló fogászat";"kompozit inlay|kompozit onlay|kompozit betét"
"Inlay/Onlay (kerámia, e-max)";"Konzerváló fogászat";"e-max inlay|kerámia inlay|porcelán betét|kerámia onlay"
"Inlay/Onlay (cirkon)";"Konzerváló fogászat";"cirkon inlay|cirkon onlay|zirkónium betét"
"Tömés-csiszolás / korrekció";"Konzerváló fogászat";"korrekció|csiszolás|adjusztálás|polish"
"Mozgófogak ideiglenes sínezése (kompozit)";"Konzerváló fogászat";"sínezés|kompozit sín|mobilis fog rögzítés|temporary splint"
"Mozgófogak sínezése merevítőrosttal (Ribbond/Everstick)";"Konzerváló fogászat";"ribbond|everstick|fiber splint|merevítőrostos sínezés|Transmularis"
"Kihúzott fog visszaragasztása sínezéssel";"Konzerváló fogászat";"saját fog visszaragasztás|reimplantáció kompozittal|kihúzott fog pótlás"
"Kofferdam izolálás";"Konzerváló fogászat";"kofferdam|gumikendő|izolálás|rubber dam"
"Mikroszkópos diagnosztika (repedés/álút)";"Konzerváló fogászat";"mikroszkóp diag|repedéskeresés|álút keresés|operating microscope diag"
"Mikroszkópos kiegészítő kezelés preparáláshoz";"Konzerváló fogászat";"mikroszkóp prepa|magnification|preparálás mikroszkóppal"
"Diagnosztikus direkt héj (Mock-up szájban, foganként)";"Konzerváló fogászat";"mock up szájban|próba kompozittal|tervezési héj"
"Trepanálás (megnyitás)";"Endodoncia";"trepanálás|access opening|fogmegnyitás|kavitás kialakítás"
"Pulpektómia (élő pulpa eltávolítás)";"Endodoncia";"pulpektómia|pulp extirpation|élő ideg eltávolítás"
"Pulpotomia";"Endodoncia";"pulpotomia|pulp amputation|részleges pulpa eltávolítás"
"Gyökérkezelés első kezelés - 1 csatorna (frontfog)";"Endodoncia";"gyökérkezelés front|GYK 1 csat|RC 1 channel|root canal front|frontfog gyk"
"Gyökérkezelés első kezelés - 2 csatorna (kisőrlő)";"Endodoncia";"gyökérkezelés kisőrlő|GYK 2 csat|RC 2 channel|kisőrlő gyk"
"Gyökérkezelés első kezelés - 3 csatorna (nagyőrlő)";"Endodoncia";"gyökérkezelés nagyőrlő 3|GYK 3 csat|moláris gyk 3"
"Gyökérkezelés első kezelés - 4 csatorna (nagyőrlő)";"Endodoncia";"gyökérkezelés nagyőrlő 4|GYK 4 csat|moláris gyk 4|MB2"
"Gyökértömés - 1 csatorna (frontfog)";"Endodoncia";"gyökértömés front|GYT 1 csat|root filling 1|frontfog GYT"
"Gyökértömés - 2 csatorna (kisőrlő)";"Endodoncia";"gyökértömés kisőrlő|GYT 2 csat|root filling 2"
"Gyökértömés - 3 csatorna (nagyőrlő)";"Endodoncia";"gyökértömés nagyőrlő 3|GYT 3 csat|moláris GYT 3"
"Gyökértömés - 4 csatorna (nagyőrlő)";"Endodoncia";"gyökértömés nagyőrlő 4|GYT 4 csat|moláris GYT 4"
"Gyökércsatorna átöblítés és gyógyszeres zárás";"Endodoncia";"átöblítés|gyógyszeres zárás|CHX zárás|kalcium-hidroxid|interim dressing"
"Kálcium-hidroxidos gyógyszeres zárás";"Endodoncia";"Ca(OH)2|kalcium-hidroxid|gyógyszeres zárás|UltraCal"
"Régi gyökértömés eltávolítása csatornánként (front/kisőrlő)";"Endodoncia";"GYT eltávolítás|reendo front|revíziós front|RCT retreatment 1"
"Régi gyökértömés eltávolítása csatornánként (nagyőrlő)";"Endodoncia";"GYT eltávolítás moláris|reendo moláris|revíziós moláris"
"Mikroszkópos gyökérkezelés első kezelés - 1 csatorna";"Endodoncia";"MGYK 1|mikroszkópos endo 1|microscope RC 1"
"Mikroszkópos gyökérkezelés első kezelés - 2 csatorna";"Endodoncia";"MGYK 2|mikroszkópos endo 2|microscope RC 2"
"Mikroszkópos gyökérkezelés első kezelés - 3 csatorna";"Endodoncia";"MGYK 3|mikroszkópos endo 3|microscope RC 3"
"Mikroszkópos gyökérkezelés első kezelés - 4 csatorna";"Endodoncia";"MGYK 4|mikroszkópos endo 4|microscope RC 4"
"Mikroszkópos gyökérkezelés második kezelés - 1 csatorna";"Endodoncia";"MGYK 1 második|mikroszkópos endo második 1"
"Mikroszkópos gyökérkezelés második kezelés - 2 csatorna";"Endodoncia";"MGYK 2 második|mikroszkópos endo második 2"
"Mikroszkópos gyökérkezelés második kezelés - 3 csatorna";"Endodoncia";"MGYK 3 második|mikroszkópos endo második 3"
"Mikroszkópos gyökérkezelés második kezelés - 4 csatorna";"Endodoncia";"MGYK 4 második|mikroszkópos endo második 4"
"Mikroszkópos revízió - GYT eltávolítás (front/kisőrlő, csatornánként)";"Endodoncia";"mikroszkópos revízió|micro retreatment front|MGYT-elt 1"
"Mikroszkópos revízió - GYT eltávolítás (nagyőrlő, csatornánként)";"Endodoncia";"mikroszkópos revízió moláris|micro retreatment molar|MGYT-elt M"
"Mikroszkópos betört műszer eltávolítása";"Endodoncia";"betört reszelő|broken file removal|műszertörés"
"Mikroszkópos csap eltávolítás";"Endodoncia";"csap eltávolítás mikroszkóppal|post removal|gyökércsap eltávolítás"
"Mikroszkópos extra kezelés bonyolult csatornánál";"Endodoncia";"extra mikroszkóp|comlex canal|kalcifikált csatorna|MB2 keresés"
"Apexifikáció / apexogenezis";"Endodoncia";"apexifikáció|apexogenezis|nyitott apex|MTA apikál"
"Belső fogfehérítés (devitális, foganként)";"Endodoncia";"belső fehérítés|internal bleaching|walking bleach"
"Intracanaliris üvegszálas csap (Dentapreg PinPost)";"Endodoncia";"intracanal post|pinpost|fiber post intracanal"
"Parapulparis üvegszálas csap (Dentapreg)";"Endodoncia";"parapulpáris csap|kis csap|pin"
"E-max kerámiahéj (foganként)";"Esztétikai fogászat";"e-max héj|kerámia héj|porcelán héj|veneer|lithium-diszilikát héj"
"Préselt kerámia héj (Empress)";"Esztétikai fogászat";"empress héj|empress|leucit kerámia héj"
"Veneer-lay";"Esztétikai fogászat";"veneer-lay|kombinált héj-onlay|wraparound veneer"
"Renamel direkt héj belső színezéssel";"Esztétikai fogászat";"renamel|kompozit héj rétegezve|cosmedent héj"
"Direkt kompozit héj (foganként)";"Esztétikai fogászat";"direkt veneer|kompozit héj|chairside veneer"
"Házi sínes fogfehérítés (alsó-felső)";"Esztétikai fogászat";"otthoni fehérítés|sínes fehérítés|home bleaching|carbamid peroxid"
"Rendelői fogfehérítés (in-office)";"Esztétikai fogászat";"rendelői fehérítés|chair-side fehérítés|Zoom|Beyond"
"Kombinált fogfehérítés (rendelői + házi)";"Esztétikai fogászat";"kombinált fehérítés|in-office + home"
"Belső fogfehérítés (1 fogon, devitális)";"Esztétikai fogászat";"belső fehérítés|elszíneződött fog|walking bleach"
"Fehérítősín készítése (alsó-felső, lenyomatra)";"Esztétikai fogászat";"fehérítősín|whitening tray|bleaching tray"
"Fehérítő utántöltő gél";"Esztétikai fogászat";"fehérítő gél|carbamid gél|fehérítő utántöltő"
"Fogékszer felragasztás";"Esztétikai fogászat";"fogékszer|jewel|tooth gem"
"Fogékszer eltávolítás";"Esztétikai fogászat";"fogékszer levétel|jewel removal"
"Smile design / mosolytervezés";"Esztétikai fogászat";"DSD|smile design|esztétikai tervezés"
"Élpótlás esztétikai célból";"Esztétikai fogászat";"élpótlás|inciso|esztétikai élpótlás"
"Preparálás (foganként)";"Fogpótlástan – rögzített";"prepa|preparálás|csiszolás|brúsz|tooth preparation"
"Fémkerámia korona";"Fogpótlástan – rögzített";"FK|fémkerámia|porcelán fűzött fém|PFM"
"Cirkon korona (monolit)";"Fogpótlástan – rögzített";"cirkon|monolit cirkon|zirkónium korona"
"Cirkon korona (réteges)";"Fogpótlástan – rögzített";"réteges cirkon|porcelán fűzött cirkon|esztétikus cirkon"
"E-max kerámia korona";"Fogpótlástan – rögzített";"e-max korona|lithium-diszilikát korona"
"Empress kerámia korona";"Fogpótlástan – rögzített";"empress korona|leucit korona"
"Hídtag (fémkerámia)";"Fogpótlástan – rögzített";"FK hídtag|fémkerámia híd egység|pontic FK"
"Hídtag (cirkon)";"Fogpótlástan – rögzített";"cirkon hídtag|zirkon pontic"
"Hídtag (E-max)";"Fogpótlástan – rögzített";"e-max hídtag|kerámia pontic"
"Inlay-elhorgonyzású cirkon híd (egy fog pótlás)";"Fogpótlástan – rögzített";"inlay híd|adhezív híd cirkon|inlay-retained bridge"
"Maryland híd (kerámia szárny)";"Fogpótlástan – rögzített";"maryland|szárnyas híd|adhezív híd|RBB"
"Implantátumon csavarozott fémkerámia korona";"Fogpótlástan – rögzített";"csavarozott FK|screw retained PFM|átmenőcsavaros FK"
"Implantátumon csavarozott cirkon korona";"Fogpótlástan – rögzített";"csavarozott cirkon|screw retained cirkon|átmenőcsavaros cirkon"
"Implantátumon cementezett korona";"Fogpótlástan – rögzített";"cementezett implantátum korona|cement retained|ragasztott implantátum korona"
"Hosszútávú ideiglenes korona (laborban készült, PMMA)";"Fogpótlástan – rögzített";"PMMA korona|long term temp|hosszútávú provizórium"
"Hosszútávú ideiglenes híd (PMMA)";"Fogpótlástan – rögzített";"PMMA híd|hosszútávú ideiglenes híd|long term temp bridge"
"Hosszútávú ideiglenes korona implantátumra (CAD/CAM)";"Fogpótlástan – rögzített";"CAD/CAM provizórium|implantátum ideiglenes korona|titánbázis provizórium"
"Ideiglenes korona rendelőben készítve";"Fogpótlástan – rögzített";"chairside ideiglenes|provizórium rendelőben|protemp"
"Ideiglenes híd készítés A1/A3 fóliából";"Fogpótlástan – rögzített";"fóliahúzott provizórium|szívóformázott híd|deep draw temporary"
"Sapka ideiglenes célra (foganként)";"Fogpótlástan – rögzített";"sapka|provisional shell|ideiglenes sapka"
"All-on-4 csavarozott ideiglenes híd (PMMA, állcsontonként)";"Fogpótlástan – rögzített";"all on 4 ideiglenes|all-on-4 PMMA|csavarozott PMMA híd"
"All-on-4 csavarozott végleges cirkon híd (állcsontonként)";"Fogpótlástan – rögzített";"all on 4 cirkon|all-on-4 final|csavarozott cirkon híd 4 implantátumon"
"All-on-6 csavarozott végleges cirkon híd (állcsontonként)";"Fogpótlástan – rögzített";"all on 6 cirkon|all-on-6 final|csavarozott cirkon híd 6 implantátumon"
"Hosszútávú ideiglenes híd Ivotion-erősített (állcsontonként)";"Fogpótlástan – rögzített";"Ivotion híd|teljes íves provizórium|fémmel erősített PMMA"
"Teleszkóp korona (CAD/CAM primer + szekunder, foganként)";"Fogpótlástan – rögzített";"teleszkóp|teleszkóp korona|primer-szekunder"
"Precíziós rögzítőelem (db)";"Fogpótlástan – rögzített";"precíziós elem|attachment|rögzítőelem"
"Precíziós elhorgonyzású fogmű fém alaplemeze";"Fogpótlástan – rögzített";"precíziós alaplemez|kombinált munka alaplemez"
"Sapkapróba";"Fogpótlástan – rögzített";"sapkapróba|coping try-in"
"Vázpróba";"Fogpótlástan – rögzített";"vázpróba|framework try-in|substruktúra próba"
"Nyerspróba (biszkvitpróba)";"Fogpótlástan – rögzített";"biszkvitpróba|nyers próba|bisque try-in"
"Fogpróba (rögzített pótlásnál színpróba)";"Fogpótlástan – rögzített";"fogpróba|színpróba|shade try-in"
"Próbaragasztás (ideiglenes ragasztás)";"Fogpótlástan – rögzített";"próbaragasztás|TempBond|ideiglenes cementezés"
"Végleges ragasztás (rögzített pótlásnál)";"Fogpótlástan – rögzített";"végleges ragasztás|cementezés|adhezív ragasztás|RelyX|Variolink"
"Korona levétel (átvágott koronánként)";"Fogpótlástan – rögzített";"korona átvágás|korona levétel|crown sectioning"
"Korona visszaragasztás (végleges)";"Fogpótlástan – rögzített";"recementezés|korona visszaragasztás|recementation"
"Ideiglenes visszaragasztás";"Fogpótlástan – rögzített";"ideiglenes visszaragasztás|temp recement"
"Protetikai munka beragasztása / fogmű átadás";"Fogpótlástan – rögzített";"fogmű átadás|munka beragasztás|delivery"
"Merevítőrostos direkt híd (egy fog hiány)";"Fogpótlástan – rögzített";"direkt híd|fiber bridge|everstick híd|biomimetic bridge"
"RSVP ideiglenes héj";"Fogpótlástan – rögzített";"RSVP|ideiglenes héj|temp veneer"
"Porcelán borítású fémkorona";"Fogpótlástan – rögzített";"PFM|porcelán fűzött fém"
"Teljes kivehető fogsor akrilát (egy állcsont)";"Fogpótlástan – kivehető";"akrilát fogsor|teljes fogsor|complete denture"
"Teljes kivehető fogsor BPS (egy állcsont)";"Fogpótlástan – kivehető";"BPS|biofunkcionális fogsor|Ivoclar BPS"
"BPS fogsor individualizált alaplemezzel (egy állcsont)";"Fogpótlástan – kivehető";"egyedi BPS|gnatológiai BPS|funkcionális BPS"
"Teljes fogsor (Ivotion 3D nyomtatott)";"Fogpótlástan – kivehető";"Ivotion fogsor|3D nyomtatott fogsor|digital denture"
"Részleges kivehető fogsor (akrilát)";"Fogpótlástan – kivehető";"részleges fogsor|RPF akrilát|partial denture"
"Részleges kivehető fogsor (fémlemezes, kapcsos)";"Fogpótlástan – kivehető";"fémlemezes fogsor|öntött kapcsos|cast partial|kapocs|CoCr partial"
"Valplast 1 fogas pótlás";"Fogpótlástan – kivehető";"valplast 1 fog|flexibilis 1 fog|nylon 1 fog"
"Valplast részleges (1-2 fog, front)";"Fogpótlástan – kivehető";"valplast 1-2 front|kis valplast"
"Valplast részleges (3-4 fog)";"Fogpótlástan – kivehető";"valplast 3-4|közepes valplast"
"Valplast teljes fogsor";"Fogpótlástan – kivehető";"teljes valplast|nylon fogsor"
"Valplast javítása (foganként)";"Fogpótlástan – kivehető";"valplast javítás|nylon javítás"
"Lokátoros kivehető fogsor (2 implantátumon)";"Fogpótlástan – kivehető";"lokátor 2|locator 2|overdenture 2 implantátum"
"Lokátoros kivehető fogsor (4 implantátumon)";"Fogpótlástan – kivehető";"lokátor 4|locator 4|overdenture 4 implantátum"
"Stéges kivehető fogsor (4 implantátumon)";"Fogpótlástan – kivehető";"stég 4|bar 4|gerendás 4 implantátum"
"Stéges kivehető fogsor (6 implantátumon)";"Fogpótlástan – kivehető";"stég 6|bar 6|gerendás 6 implantátum"
"Variokugel elhorgonyzás";"Fogpótlástan – kivehető";"variokugel|gömbös elhorgonyzás|ball attachment"
"Lokátor matrica cseréje";"Fogpótlástan – kivehető";"lokátor matrica|locator insert csere|nylon csere"
"Fogsor alábélelés (közvetlen, kemény)";"Fogpótlástan – kivehető";"alábélelés direkt|chairside reline|kemény alábélelés"
"Fogsor alábélelés (közvetett, laborban)";"Fogpótlástan – kivehető";"laboratóriumi alábélelés|indirekt reline"
"Fogsor lágy alábélelés (Mollosil/szilikon)";"Fogpótlástan – kivehető";"lágy alábélelés|szilikon alábélelés|soft reline"
"Fogsor javítás (törés)";"Fogpótlástan – kivehető";"fogsor törés|törött fogsor javítás|denture repair"
"Fogsor javítás (fog/kapocs pótlása)";"Fogpótlástan – kivehető";"fog beragasztás fogsorba|kapocs pótlás|tooth add"
"Ideiglenes fogsor (3D nyomtatott, állcsontonként)";"Fogpótlástan – kivehető";"3D ideiglenes fogsor|nyomtatott ideiglenes fogsor"
"Ideiglenes fogsor (akrilát, állcsontonként)";"Fogpótlástan – kivehető";"akrilát ideiglenes|sürgősségi fogsor|immediate denture"
"Ideiglenes fogsor laborban (Ivoclar fogakkal)";"Fogpótlástan – kivehető";"Ivoclar ideiglenes|ideiglenes fogsor labor|long term provisional denture"
"Tanulmányi lenyomat (alginát, állcsontonként)";"Fogpótlástan – kivehető";"tanulmányi lenyomat|alginát|preliminary impression"
"Lenyomati díj (precíziós szilikon, állcsontonként)";"Fogpótlástan – kivehető";"precíziós lenyomat|szilikon lenyomat|funkcionális lenyomat"
"Fogbeültetés (premium implantátum, foganként)";"Implantológia";"implantátum|fogbeültetés|implant placement|Nobel|Straumann|Astra"
"Fogbeültetés (közép-kategória implantátum, foganként)";"Implantológia";"középkategóriás implantátum|Dentium|AlphaBio|Bionika|MIS"
"Fogbeültetés (sürgősségi/azonnali, foganként)";"Implantológia";"azonnali implantáció|immediate implant|sürgősségi implantáció"
